Stock Code,Company Name
SCCO,Supreme Cable Manufacturing & Commerce Tbk.
SCMA,Surya Citra Media Tbk.
SCPI,Merck Sharp Dohme Pharma Tbk.
SDMU,Sidomulyo Selaras Tbk.
SDPC,Millennium Pharmacon International Tbk.
SDRA,Bank Woori Saudara Indonesia 1906 Tbk.
SGRO,Sampoerna Agro Tbk.
SHID,Hotel Sahid Jaya International Tbk.
SHIP,Sillo Maritime Perdana Tbk.
SIAP,Sekawan Intipratama Tbk
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.
SILO,Siloam International Hospitals Tbk.
SIMA,Siwani Makmur Tbk
SIMP,Salim Ivomas Pratama Tbk.
SIPD,Sierad Produce Tbk.
SKBM,Sekar Bumi Tbk.
SKLT,Sekar Laut Tbk.
SKRN,Superkrane Mitra Utama Tbk.
SKYB,Skybee Tbk.
SMAR,Smart Tbk.
SMBR,Semen Baturaja (Persero) Tbk.
SMCB,Holcim Indonesia Tbk.
SMDM,Suryamas Dutamakmur Tbk.
SMDR,Samudera Indonesia  Tbk.
SMGR,Semen Indonesia (Persero) Tbk.
SMMA,Sinarmas Multiartha Tbk.
SMMT,Golden Eagle Energy Tbk.
SMRA,Summarecon Agung Tbk.
SMRU,SMR Utama Tbk.
SMSM,Selamat Sempurna Tbk.
SOCI,Soechi Lines Tbk.
SONA,Sona Topas Tourism Industry Tbk.
SOSS,Shield On Service Tbk.
SOTS,Satria Mega Kencana Tbk.
SPMA,Suparma Tbk.
SPTO,Surya Pertiwi Tbk.
SQMI,Renuka Coalindo Tbk.
SRAJ,Sejahteraraya Anugrahjaya Tbk.
SRIL,Sri Rejeki Isman Tbk.
SRSN,Indo Acidatama Tbk
SRTG,Saratoga Investama Sedaya Tbk.
SSIA,Surya Semesta Internusa Tbk.
SSMS,Sawit Sumbermas Sarana Tbk.
SSTM,Sunson Textile Manufacture Tbk
STAR,Star  Petrochem Tbk.
STTP,Siantar Top Tbk.
SUGI,Sugih Energy Tbk.
SULI,SLJ Global Tbk.
SUPR,Solusi Tunas Pratama Tbk.
SURE,Super Energy Tbk.
SWAT,Sriwahana Adityakarta Tbk.
TALF,Tunas Alfin Tbk.
TAMU,Pelayaran Tamarin Samudra Tbk.
TARA,Sitara Propertindo Tbk.
TAXI,Express Transindo Utama Tbk.
TBIG,Tower Bersama Infrastructure Tbk.
TBLA,Tunas Baru Lampung Tbk.
TBMS,Tembaga Mulia Semanan Tbk.
TCID,Mandom Indonesia Tbk.
TCPI,Transcoal Pacific Tbk.
TDPM,Tridomain Performance Materials Tbk.
TELE,Tiphone Mobile Indonesia Tbk.
TFCO,Tifico Fiber Indonesia Tbk.
TGKA,Tigaraksa Satria Tbk.
TGRA,Terregra Asia Energy Tbk.
TIFA,Tifa Finance Tbk.
TINS,Timah Tbk.
TIRA,Tira Austenite Tbk
TIRT,Tirta Mahakam Resources Tbk
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.
TLKM,Telekomunikasi Indonesia (Persero) Tbk.
TMAS,Pelayaran Tempuran Emas Tbk.
TMPI,Sigmagold Inti Perkasa Tbk.
TMPO,Tempo Intimedia Tbk.
TNCA,Trimuda Nuansa Citra Tbk.
TOBA,Toba Bara Sejahtra Tbk.
TOPS,Totalindo Eka Persada Tbk.
TOTL,Total Bangun Persada Tbk.
TOTO,Surya Toto Indonesia Tbk.
TOWR,Sarana Menara Nusantara Tbk.
TPIA,Chandra Asri Petrochemical Tbk.
TPMA,Trans Power Marine Tbk.
TRAM,Trada Alam Minera Tbk.
TRIL,Triwira Insanlestari Tbk.
TRIM,Trimegah Sekuritas Indonesia Tbk.
TRIO,Trikomsel Oke Tbk.
TRIS,Trisula International Tbk.
TRST,Trias Sentosa Tbk.
TRUK,Guna Timur Raya Tbk.
TRUS,Trust Finance Indonesia Tbk
TSPC,Tempo Scan Pacific Tbk.
TUGU,Asuransi Tugu Pratama Indonesia Tbk.
TURI,Tunas Ridean Tbk.
ULTJ,"Ultra Jaya Milk Industry & Trading Company, Tbk."
UNIC,Unggul Indah Cahaya Tbk.
UNIT,Nusantara Inti Corpora Tbk
UNSP,Bakrie Sumatera Plantations Tbk.
UNTR,United Tractors Tbk.
UNVR,Unilever Indonesia Tbk.
URBN,Urban Jakarta Propertindo Tbk.
VICO,Victoria Investama Tbk.
VINS,Victoria Insurance Tbk.
VIVA,Visi Media Asia Tbk.
VOKS,Voksel Electric Tbk.
VRNA,Verena Multi Finance Tbk.
WAPO,Wahana Pronatural Tbk.
WEGE,Wijaya Karya Bangunan Gedung Tbk.
WEHA,WEHA Transportasi Indonesia Tbk.
WICO,Wicaksana Overseas International Tbk.
WIIM,Wismilak Inti Makmur Tbk.
WIKA,Wijaya Karya (Persero) Tbk.
WINS,Wintermar Offshore Marine Tbk.
WOMF,Wahana Ottomitra Multiartha Tbk.
WOOD,Integra Indocabinet Tbk.
WSBP,Waskita Beton Precast Tbk.
WSKT,Waskita Karya (Persero) Tbk.
WTON,Wijaya Karya Beton Tbk.
YELO,Yelooo Integra Datanet Tbk.
YPAS,Yanaprima Hastapersada Tbk
YULE,Yulie Sekuritas Indonesia Tbk.
ZBRA,Zebra Nusantara Tbk
ZINC,Kapuas Prima Coal Tbk.
ZONE,Mega Perintis Tbk.
FOOD,Sentra Food Indonesia Tbk.
BEEF,Estika Tata Tiara Tbk.
POLI,Pollux Investasi Internasional Tbk.
CLAY,Citra Putra Realty Tbk.
NATO,Nusantara Properti Internasional Tbk.
JAYA,Armada Berjaya Trans Tbk.
BTPN,Bank BTPN Tbk.
COCO,Wahana Interfood Nusantara Tbk.
CPRI,Capri Nusa Satu Properti Tbk.
HRME,Menteng Heritage Realty Tbk.
MTPS,Meta Epsi Tbk.
SKYB,Northcliff Citranusa Indonesia Tbk.
SMCB,Solusi Bangun Indonesia Tbk.
KAEF,Kimia Farma (Persero) Tbk.
PGAS,Perusahaan Gas Negara Tbk.
POSA,Bliss Properti Indonesia Tbk.
FITT,Hotel Fitra International Tbk.
INAF,Indofarma (Persero) Tbk.
JAST,Jasnita Telekomindo Tbk.
BOLA,Bali Bintang Sejahtera Tbk.
CCSI,Communication Cable Systems Indonesia Tbk.
ITIC,Indonesian Tobacco Tbk.
KAYU,Darmi Bersaudara Tbk.
KJEN,Krida Jaringan Nusantara Tbk.
POLU,Golden Flower Tbk.
SFAN,Surya Fajar Capital Tbk.
STAR,Buana Artha Anugerah Tbk.
ARKA,Arkha Jayanti Persada Tbk.
BLUE,Berkah Prima Perkasa Tbk.
EAST,Eastparc Hotel Tbk.
ENVY,Envy Technologies Indonesia Tbk.
FUJI,Fuji Finance Indonesia Tbk.
HDIT,Hensel Davest Indonesia Tbk.
INOV,Inocycle Technology Group Tbk.
IPTV,MNC Vision Networks Tbk.
KOTA,DMS Propertindo Tbk.
LIFE,Asuransi Jiwa Sinarmas MSIG Tbk.
PAMG,Bima Sakti Pertiwi Tbk.
SMKL,Satyamitra Kemas Lestari Tbk.
DNAR,Bank Oke Indonesia Tbk.
KEEN,Kencana Energi Lestari Tbk.
TMAS,Temas Tbk.
AGRS,Bank IBK Indonesia Tbk.
BAPI,Bhakti Agung Propertindo Tbk.
GGRP,Gunung Raja Paksi Tbk.
NZIA,Nusantara Almazia Tbk.
OPMS,Optima Prima Metal Sinergi Tbk.
TFAS,Telefast Indonesia Tbk.
IRRA,Itama Ranoraya Tbk.
MPRO,Maha Properti Indonesia Tbk.
PURE,Trinitan Metals and Minerals Tbk.
SLIS,Gaya Abadi Sempurna Tbk.
DMMX,Digital Mediatama Maxima Tbk.
ESIP,Sinergi Inti Plastindo Tbk.
KEJU,Mulia Boga Raya Tbk.
PSGO,Palma Serasih Tbk.
SINI,Singaraja Putra Tbk.
SQMI,Wilton Makmur Indonesia Tbk.
TEBE,Dana Brata Luhur Tbk.
WOWS,Ginting Jaya Energi Tbk.
AGAR,Asia Sejahtera Mina Tbk.
IFSH,Ifishdeco Tbk.
REAL,Repower Asia Indonesia Tbk.
IFII,Indonesia Fibreboard Industry Tbk.
PMJS,Putra Mandiri Jembar Tbk.
UCID,Uni-Charm Indonesia Tbk.
GLVA,Galva Technologies Tbk.
DEFI,Danasupra Erapacific Tbk.
PGJO,Tourindo Guide Indonesia Tbk.
AMAR,Bank Amar Indonesia Tbk.
CSRA,Cisadane Sawit Raya Tbk.
INDO,Royalindo Investa Wijaya Tbk.
AMOR,Ashmore Asset Management Indonesia Tbk.
TRIN,Perintis Triniti Properti Tbk.
AKSI,Maming Enam Sembilan Mineral Tbk.
DMND,Diamond Food Indonesia Tbk.
PURA,Putra Rajawali Kencana Tbk.
PTPW,Pratama Widya Tbk.
TAMA,Lancartama Sejati Tbk.
AYLS,Agro Yasa Lestari Tbk.
IKAN,Era Mandiri Cemerlang Tbk.
DADA,Diamond Citra Propertindo Tbk.
ASPI,Andalan Sakti Primaindo Tbk.
BESS,Batulicin Nusantara Maritim Tbk.
ESTA,Esta Multi Usaha Tbk.
AMAN,Makmur Berkah Amanda Tbk.
CARE,Metro Healthcare Indonesia Tbk.
BBSS,Bumi Benowo Sukses Sejahtera Tbk.
BHAT,Bhakti Multi Artha Tbk.
CBMF,Cahaya Bintang Medan Tbk.
CSMI,Cipta Selera Murni Tbk.
KBAG,Karya Bersama Anugerah Tbk.
RONY,Aesler Grup Internasional Tbk.
SAMF,Saraswanti Anugerah Makmur Tbk.
SBAT,Sejahtera Bintang Abadi Textile Tbk.
CASH,Cashlez Worldwide Indonesia Tbk.
TECH,Indosterling Technomedia Tbk.
BTPS,Bank BTPN Syariah Tbk.
ARTO,Bank Jago Tbk.
EPAC,Megalestari Epack Sentosaraya Tbk.
GAMA,Aksara Global Development Tbk.
PGUN,Pradiksi Gunatama Tbk.
PPGL,Prima Globalindo Logistik Tbk.
SOFA,Boston Furniture Industries Tbk.
UANG,Pakuan Tbk.
SGER,Sumber Global Energy Tbk.
TOYS,Sunindo Adipersada Tbk.
PNGO,Pinago Utama Tbk.
TRJA,Transkon Jaya Tbk.
BBSI,Bank Bisnis Internasional Tbk.
BBYB,Bank Neo Commerce Tbk.
ENZO,Morenzo Abadi Perkasa Tbk.
HOMI,Grand House Mulia Tbk.
KMDS,Kurniamitra Duta Sentosa Tbk.
LPPS,Lenox Pasifik Investama Tbk.
PLAN,Planet Properindo Jaya Tbk.
PURI,Puri Global Sukses Tbk.
ROCK,Rockfields Properti Indonesia Tbk.
SCNP,Selaras Citra Nusantara Perkasa Tbk.
SOHO,Soho Global Health Tbk.
TIFA,KDB Tifa Finance Tbk.
TOBA,TBS Energi Utama Tbk.
NASA,Andalan Perkasa Abadi Tbk.
SIPD,Sreeya Sewu Indonesia Tbk.
TARA,Agung Semesta Sejahtera Tbk.
NATO,Surya Permata Andalan Tbk.
TLKM,Telkom Indonesia (Persero) Tbk.
PTDU,Djasa Ubersakti Tbk.
ATAP,Trimitra Prawara Goldland Tbk.
VICI,Victoria Care Indonesia Tbk.
PMMP,Panca Mitra Multiperdana Tbk.
WIFI,Solusi Sinergi Digital Tbk.
FAPA,FAP Agri Tbk.
DCII,DCI Indonesia Tbk.
DGNS,Diagnos Laboratorium Utama Tbk.
BANK,Bank Net Indonesia Syariah Tbk.
BRIS,Bank Syariah Indonesia Tbk.
UFOE,Damai Sejahtera Abadi Tbk.
WMUU,Widodo Makmur Unggas Tbk.
EDGE,Indointernet Tbk.
BBKP,Bank KB Bukopin Tbk.
ASMI,Asuransi Maximus Graha Persada Tbk.
UNIQ,Ulima Nitra Tbk.
BEBS,Berkah Beton Sadaya Tbk.
SNLK,Sunter Lakeside Hotel Tbk.
AISA,FKS Food Sejahtera Tbk.
ZYRX,Zyrexindo Mandiri Buana Tbk.
FIMP,Fimperkasa Utama Tbk.
LFLO,Imago Mulia Persada Tbk.
NPGF,Nusa Palapa Gemilang Tbk.
SCPI,Organon Pharma Indonesia Tbk.
TAPG,Triputra Agro Persada Tbk.
LUCY,Lima Dua Lima Tiga Tbk.
HOPE,Harapan Duta Pertiwi Tbk.
MGLV,Panca Anugrah Wisesa Tbk.
ARCI,Archi Indonesia Tbk.
IPAC,Era Graharealty Tbk.
LABA,Ladangbaja Murni Tbk.
MASB,Bank Multiarta Sentosa Tbk.
TRUE,Triniti Dinamik Tbk.
BANK,Bank Aladin Syariah Tbk.
BBHI,Allo Bank Indonesia Tbk.
BMHS,Bundamedik Tbk.
FLMC,Falmaco Nonwoven Industri Tbk.
GLOB,Globe Kita Terang Tbk.
NICL,PAM Mineral Tbk.
BUKA,Bukalapak.com Tbk.
UVCR,Trimegah Karya Pratama Tbk.
GPSO,Geoprima Solusi Tbk.
HAIS,Hasnur Internasional Shipping Tbk.
OILS,Indo Oil Perkasa Tbk.
CMNT,Cemindo Gemilang Tbk.
GTSI,GTS Internasional Tbk.
IDEA,Idea Indonesia Akademi Tbk.
MCOL,Prima Andalan Mandiri Tbk.
RSGK,Kedoya Adyaraya Tbk.
RUNS,Global Sukses Solusi Tbk.
SBMA,Surya Biru Murni Acetylene Tbk.
BOBA,Formosa Ingredient Factory Tbk.
KUAS,Ace Oldfields Tbk.
POLL,Pollux Properties Indonesia Tbk.
AGRO,Bank Raya Indonesia Tbk.
BINO,Perma Plasindo Tbk.
DEPO,Caturkarda Depo Bangunan Tbk.
MTEL,Dayamitra Telekomunikasi Tbk.
POLI,Pollux Hotels Group Tbk.
CMRY,Cisarua Mountain Dairy Tbk.
TAYS,Jaya Swarasa Agung Tbk.
WGSH,Wira Global Solusi Tbk.
WMPP,Widodo Makmur Perkasa Tbk.
RMKE,RMK Energy Tbk.
AVIA,Avia Avian Tbk.
OBMD,OBM Drilchem Tbk.
IPPE,Indo Pureco Pratama Tbk.
NASI,Wahana Inti Makmur Tbk.
BSML,Bintang Samudera Mandiri Lines Tbk.
DRMA,Dharma Polimetal Tbk.
ADMR,Adaro Minerals Indonesia Tbk.
SEMA,Semacom Integrated Tbk.
AKSI,Mineral Sumberdaya Mandiri Tbk.
ASLC,Autopedia Sukses Lestari Tbk.
NETV,Net Visi Media Tbk.
BAUT,Mitra Angkasa Sejahtera Tbk.
ENAK,Champ Resto Indonesia Tbk.
NTBK,Nusatama Berkah Tbk.
ADCP,Adhi Commuter Properti Tbk.
NANO,Nanotech Indonesia Global Tbk.
SMKM,Sumber Mas Konstruksi Tbk.
STAA,Sumber Tani Agung Resources Tbk.
IATA,MNC Energy Investments Tbk.
MSIN,MNC Digital Entertainment Tbk.
BIKE,Sepeda Bersama Indonesia Tbk.
ADRO,Adaro Energy Indonesia Tbk.
ZBRA,Dosni Roha Indonesia Tbk.
GOTO,GoTo Gojek Tokopedia Tbk.
IBFN,Intan Baru Prana Tbk.
MTMH,Murni Sadar Tbk.
SICO,Sigma Energy Compressindo Tbk.
TLDN,Teladan Prima Agro Tbk.
WIRG,WIR ASIA Tbk.
IBOS,Indo Boga Sukses Tbk.
OLIV,Oscar Mitra Sukses Sejahtera Tbk.
WINR,Winner Nusantara Jaya Tbk.
ASHA,Cilacap Samudera Fishing Industry Tbk.
ARKO,Arkora Hydro Tbk.
AXIO,Tera Data Indonusa Tbk.
CHEM,Chemstar Indonesia Tbk.
DEWI,Dewi Shri Farmindo Tbk.
HATM,Habco Trans Maritima Tbk.
KRYA,Bangun Karya Perkasa Jaya Tbk.
SWID,Saraswanti Indoland Development Tbk.
TRGU,Cerestar Indonesia Tbk.
AMMS,Agung Menjangan Mas Tbk.
BUAH,Segar Kumala Indonesia Tbk.
CRAB,Toba Surimi Industries Tbk.
ELPI,Pelayaran Nasional Ekalya Purnamasari Tbk.
EURO,Estee Gold Feet Tbk.
GULA,Aman Agrindo Tbk.
JARR,Jhonlin Agro Raya Tbk.
KKES,Kusuma Kemindo Sentosa Tbk.
KLIN,Klinko Karya Imaji Tbk.
MEDS,Hetzer Medical Indonesia Tbk.
MORA,Mora Telematika Indonesia Tbk.
OASA,Maharaksa Biru Energi Tbk.
RAFI,Sari Kreasi Boga Tbk.
RCCC,Utama Radar Cahaya Tbk.
TELE,Omni Inovasi Indonesia Tbk.
TOOL,Rohartindo Nusantara Luas Tbk.
BHIT,MNC Asia Holding Tbk.
BPFI,Woori Finance Indonesia Tbk.
COAL,Black Diamond Resources Tbk.
PALM,Provident Investasi Bersama Tbk.
BBSI,Krom Bank Indonesia Tbk.
BELI,Global Digital Niaga Tbk.
BSBK,Wulandari Bangun Laksana Tbk.
CBUT,Citra Borneo Utama Tbk.
KDTN,Puri Sentul Permai Tbk.
KETR,Ketrosden Triasmitra Tbk.
MKTR,Menthobi Karyatama Raya Tbk.
OMED,Jayamas Medica Industri Tbk.
PDPP,Primadaya Plastisindo Tbk.
PRAY,Famon Awal Bros Sedaya Tbk.
ZATA,Bersama Zatta Jaya Tbk.
VRNA,Mizuho Leasing Indonesia Tbk.
NINE,Techno9 Indonesia Tbk.
MMIX,Multi Medika Internasional Tbk.
PADA,Personel Alih Daya Tbk.
ISAP,Isra Presisi Indonesia Tbk.
VTNY,Venteny Fortuna International Tbk.
AGII,Samator Indo Gas Tbk.
BEER,Jobubu Jarum Minahasa Tbk.
CBPE,Citra Buana Prasida Tbk.
ELIT,Data Sinergitama Jaya Tbk.
SOUL,Mitra Tirta Buwana Tbk.
CBRE,Cakra Buana Resources Energi Tbk.
SUNI,Sunindo Pratama Tbk.
WINE,Hatten Bali Tbk.
BMBL,Lavender Bina Cendikia Tbk.
PEVE,Penta Valent Tbk.
LAJU,Jasa Berdikari Logistics Tbk.
FWCT,Wijaya Cahaya Timber Tbk.
NAYZ,Hassana Boga Sejahtera Tbk.
IRSX,Aviana Sinar Abadi Tbk.
CHIP,Pelita Teknologi Global Tbk.
HALO,Haloni Jane Tbk.
PACK,Solusi Kemasan Digital Tbk.
VAST,Vastland Indonesia Tbk.
KING,Hoffmen Cleanindo Tbk.
SMBR,Semen Baturaja Tbk.
PGEO,Pertamina Geothermal Energy Tbk.
FUTR,Lini Imaji Kreasi Ekosistem Tbk.
HILL,Hillcon Tbk.
BDKR,Berdikari Pondasi Perkasa Tbk.
PTMP,Mitra Pack Tbk.
CUAN,Petrindo Jaya Kreasi Tbk.
SAGE,Saptausaha Gemilangindah Tbk.
TRON,Teknologi Karya Digital Nusa Tbk.
NSSS,Nusantara Sawit Sejahtera Tbk.
PSSI,IMC Pelita Logistik Tbk.
AWAN,Era Digital Media Tbk.
GTRA,Grahaprima Suksesmandiri Tbk.
HAJJ,Arsy Buana Travelindo Tbk.
MBMA,Merdeka Battery Materials Tbk.
MENN,Menn Teknologi Indonesia Tbk.
NCKL,Trimegah Bangun Persada Tbk.
PIPA,Multi Makmur Lemindo Tbk.
DOOH,Era Media Sejahtera Tbk.
JATI,Informasi Teknologi Indonesia Tbk.
MPXL,MPX Logistics International Tbk.
RAAM,Tripar Multivision Plus Tbk.
SMIL,Sarana Mitra Luas Tbk.
TYRE,King Tire Indonesia Tbk.
KLAS,Pelayaran Kurnia Lautan Semesta Tbk.
MAXI,Maxindo Karya Anugerah Tbk.
AMMN,Amman Mineral Internasional Tbk.
CRSN,Carsurin Tbk.
GRPM,Graha Prima Mentari Tbk.
RELF,Graha Mitra Asia Tbk.
TGUK,Platinum Wahab Nusantara Tbk.
VKTR,VKTR Teknologi Mobilitas Tbk.
WIDI,Widiant Jaya Krenindo Tbk.
INET,Sinergi Inti Andalan Prima Tbk.
KREN,Quantum Clovera Investama Tbk.
LIFE,MSIG Life Insurance Indonesia Tbk.
MAHA,Mandiri Herindo Adiperkasa Tbk.
PANI,Pantai Indah Kapuk Dua Tbk.
RMKO,Royaltama Mulia Kontraktorindo Tbk.
CNMA,Nusantara Sejahtera Raya Tbk.
CYBR,ITSEC Asia Tbk.
ERAL,Sinar Eka Selaras Tbk.
FOLK,Multi Garam Utama Tbk.
GRIA,Ingria Pratama Capitalindo Tbk.
HBAT,Minahasa Membangun Hebat Tbk.
HUMI,Humpuss Maritim Internasional Tbk.
LMAX,Lupromax Pelumas Indonesia Tbk.
MSIE,Multisarana Intan Eduka Tbk.
MUTU,Mutuagung Lestari Tbk.
PPRI,Paperocks Indonesia Tbk.
AEGS,Anugerah Spareparts Sejahtera Tbk.
BABY,Multitrend Indo Tbk.
RSCH,Charlie Hospital Semarang Tbk.
ULTJ,Ultrajaya Milk Industry & Trading Company Tbk.
BREN,Barito Renewables Energy Tbk.
ESSA,ESSA Industries Indonesia Tbk.
IOTF,Sumber Sinergi Makmur Tbk.
KOCI,Kokoh Exa Nusantara Tbk.
KOKA,Koka Indonesia Tbk.
LOPI,Logisticsplus International Tbk.
PTPS,Pulau Subur Tbk.
STRK,Lovina Beach Brewery Tbk.
IKPM,Ikapharmindo Putramas Tbk.
MSTI,Mastersystem Infotama Tbk.
RGAS,Kian Santang Muliatama Tbk.
UDNG,Agro Bahari Nusantara Tbk.
AYAM,Janu Putra Sejahtera Tbk.
SURI,Maja Agung Latexindo Tbk.
ACRO,Samcro Hyosung Adilestari Tbk.
ASLI,Asri Karya Lestari Tbk.
CGAS,Citra Nusantara Gemilang Tbk.
GRPH,Griptha Putra Persada Tbk.
MANG,Manggung Polahraya Tbk.
MSJA,Multi Spunindo Jaya Tbk.
NICE,Adhi Kartiko Pratama Tbk.
SMLE,Sinergi Multi Lestarindo Tbk.
SMGA,Sumber Mineral Global Abadi Tbk.
TPIA,Chandra Asri Pacific Tbk.
ALII,Ancara Logistics Indonesia Tbk.
MPIX,Mitra Pedagang Indonesia Tbk.
TOSK,Topindo Solusi Komunika Tbk.
UNTD,Terang Dunia Internusa Tbk.
LIVE,Homeco Victoria Makmur Tbk.
MEJA,Harta Djaya Karya Tbk.
MKAP,Multikarya Asia Pasifik Raya Tbk.
HYGN,Ecocare Indo Pasifik Tbk.
BAIK,Bersama Mencapai Puncak Tbk.
